"commune_id","commune_nom","commune_geom","commune_chf_lieu","commune_centroid","commune_superficie","commune_population","pays_id","pays_nom","pays_geom","pays_centroid","pays_superficie","pays_population","pays_capitale"
"AL22E","STEINWENDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22F","KINDSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22G","BANN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22H","NIEDERKIRCHEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22I","MACKENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22J","MARTINSHOHE","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22K","KATZWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22L","SCHOPP","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22M","NIEDERMOHR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22N","REICHENBACH-STEEGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22O","KOTTWEILER-SCHWANDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL22P","HAUPTSTUHL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
